1,M.P. Metals Heliport,heliport,41.066861,-76.180806,146,North America,United States of America (the),Berwick
2,Russell County Medical Center Heliport,heliport,36.898,-82.078,611,North America,United States of America (the),Lebanon
3,Wasilla Creek Airpark,small airport,61.66830063,-149.1880035,189,North America,United States of America (the),Palmer
4,Pilot Station Airport,small airport,61.934601,-162.899994,93,North America,United States of America (the),Pilot Station
5,Helicopter Applicators Inc Heliport,heliport,39.8495,-77.184167,187,North America,United States of America (the),Gettysburg
6,Windy's Heliport,heliport,40.7975502,-73.41790009,68,North America,United States of America (the),Melville
7,Nunapitchuk Airport,small airport,60.905591,-162.440454,4,North America,United States of America (the),Nunapitchuk
8,Port Protection Seaplane Base,seaplane base,56.3288002,-133.6100006,0,North America,United States of America (the),Port Protection
9,Burg Lake Aero Airport,small airport,30.2323611,-98.6549722,446,North America,United States of America (the),Stonewall
10,Variable Bore Rams Heliport,heliport,30.076753,-91.948969,9,North America,United States of America (the),Broussard
11,NHRMC-Ed North Heliport,heliport,34.316552,-77.768284,9,North America,United States of America (the),Wilmington
12,Atmautluak Airport,small airport,60.866699,-162.272996,5,North America,United States of America (the),Atmautluak
13,Ouzinkie Airport,small airport,57.942094,-152.464314,17,North America,United States of America (the),Ouzinkie
14,McNary ARNG Field Heliport,heliport,44.912,-123.0015028,64,North America,United States of America (the),Salem
15,Aleknagik / New Airport,medium airport,59.2826004,-158.6179962,20,North America,United States of America (the),Aleknagik
16,East 34th Street Heliport,heliport,40.74259949,-73.9720993,3,North America,United States of America (the),New York
17,Tatitlek Airport,small airport,60.871449,-146.690297,19,North America,United States of America (the),Tatitlek
18,Rampart Heliport,heliport,39.344239,-104.841906,1975,North America,United States of America (the),Castle Rock
19,Chuathbaluk Airport,small airport,61.579102,-159.216003,74,North America,United States of America (the),Chuathbaluk
20,Levelock Airport,small airport,59.12606,-156.860906,12,North America,United States of America (the),Levelock
21,Chignik Lake Airport,small airport,56.25500107,-158.7749939,15,North America,United States of America (the),Chignik Lake
22,Algeciras Heliport,heliport,36.12882,-5.441079,30,Europe,Spain,Algeciras
23,Qara Tepa Heliport,heliport,37.423302,69.430298,438,Asia,Afghanistan,Qara Tepa
24,Afutara Aerodrome,small airport,-9.191388889,160.9486111,7,Oceania,Solomon Islands,Bila
25,Gwaunaru'u Airport,small airport,-8.70257,160.682007,2,Oceania,Solomon Islands,Auki
26,Bellona/Anua Airport,small airport,-11.30222222,159.7983333,18,Oceania,Solomon Islands,Anua
27,Ballalae Airport,small airport,-6.990745,155.886656,2,Oceania,Solomon Islands,Ballalae
28,Honiara International Airport,large airport,-9.428,160.054993,9,Oceania,Solomon Islands,Honiara
29,Ngorangora Airport,small airport,-10.44970036,161.897995,16,Oceania,Solomon Islands,Kirakira
30,Santa Cruz/Graciosa Bay/Luova Airport,small airport,-10.72029972,165.7949982,5,Oceania,Solomon Islands,Santa Cruz/Graciosa Bay/Luova
31,Munda Airport,medium airport,-8.32797,157.263,3,Oceania,Solomon Islands,Munda
32,Nusatupe Airport,small airport,-8.097780228,156.8639984,4,Oceania,Solomon Islands,Gizo
33,Santa Ana Airport,small airport,-10.847994,162.454108,1,Oceania,Solomon Islands,Santa Ana Island
34,Yandina Airport,small airport,-9.092816,159.21841,18,Oceania,Solomon Islands,Yandina
35,Kaghau Airport,small airport,-7.3305,157.585,9,Oceania,Solomon Islands,Kagau Island
36,Manaoba Airport,small airport,-8.325008,160.80051,4,Oceania,Solomon Islands,Manaoba
37,Gatokae Aerodrome,small airport,-8.738358,158.202836,21,Oceania,Solomon Islands,Gatokae
38,Ailinglaplap Airok Airport,small airport,7.279422,168.8257,5,Oceania,Marshall Islands (the),Bigatyelang Island
39,Nauru International Airport,medium airport,-0.547458,166.919006,7,Oceania,Nauru,Yaren District
40,Merlo Airport,small airport,-32.35820007,-65.01740265,243,South and Central America,Argentina,Merlo
41,Aitape Airport,small airport,-3.143611111,142.3468056,3,Oceania,Papua New Guinea,Aitape
42,Gruyere Airport,small airport,-28.034548,123.81506,470,Oceania,Australia,Cosmo Newbery
43,Karara Airport,small airport,-29.217223,116.687154,308,Oceania,Australia,Karara
44,Alxa Left Banner Bayanhot Airport,medium airport,38.74831,105.58858,1390,Asia,China,Bayanhot
45,Buka Airport,medium airport,-5.422319889,154.6730042,3,Oceania,Papua New Guinea,Buka Island
46,Chimbu Airport,medium airport,-6.024290085,144.970993,1516,Oceania,Papua New Guinea,Kundiawa
47,Daru Airport,medium airport,-9.08676,143.207993,6,Oceania,Papua New Guinea,Daru
48,Goroka Airport,medium airport,-6.081689835,145.3919983,1610,Oceania,Papua New Guinea,Goronka
49,Gurney Airport,medium airport,-10.3114996,150.3339996,27,Oceania,Papua New Guinea,Gurney
50,Girua Airport,medium airport,-8.80453968,148.3090057,95,Oceania,Papua New Guinea,Popondetta
51,Hoskins Airport,medium airport,-5.463846,150.407327,20,Oceania,Papua New Guinea,Kimbe
52,Aropa Airport,small airport,-6.305417,155.728139,6,Oceania,Papua New Guinea,Kieta
53,Losuia Airport,small airport,-8.505820274,151.0809937,8,Oceania,Papua New Guinea,Losuia
54,Kiunga Airport,small airport,-6.125710011,141.2819977,27,Oceania,Papua New Guinea,Kiunga
55,Kikori Airport,small airport,-7.424379826,144.2500763,15,Oceania,Papua New Guinea,Kikori
56,Kerema Airport,medium airport,-7.963610172,145.7709961,3,Oceania,Papua New Guinea,Kerema
